,TotalCapacity,TotalRetirements,TotalNetRevenue
2021,187032.5,23.0,76707.33498520164
2022,180902.5,2.0,74884.8626780359
2023,175097.5,14.0,73077.9987895631
2024,166477.5,5.0,70761.5816394235
2025,166477.5,0.0,68595.06522603396
2026,165277.5,1.0,66217.87393609495
2027,157357.5,4.0,63839.63247762202
2028,155037.5,1.0,61794.41604581581
2029,149197.5,5.0,59419.12804567623
2030,147697.5,1.0,59149.86396232737
2031,147697.5,0.0,59067.70767161309
2032,145867.5,1.0,59010.6558642059
2033,145867.5,0.0,59313.49098849162
2034,145867.5,0.0,59877.77159777733
2035,141567.5,2.0,60906.9926648297
2036,135297.5,4.0,62358.06552434132
2037,131707.5,2.0,63734.7506749604
2038,129887.5,1.0,65715.70165935032
2039,125127.5,1.0,66684.90719127876
2040,124017.5,1.0,68807.34073827765
